# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 31, mean observations per image: 2000.0645161290322
0 -0.018756109353988307 0.9836495454890521 0.05857185408689975 -0.1692664111095442 0.018371340178912343 0.20750134052511612 1.5277425917999634 0 p_000.png

1 -0.014914082214748011 0.9981811527903203 0.007632880437613841 0.057911099990451465 0.022408769013888497 0.2089649413176074 1.5078896437800644 0 p_001.png

2 0.009706999253419404 0.718389060897228 -0.142611268310764 0.6807972954554742 0.04948579646594106 0.20200691108807 1.537194064597843 0 p_002.png

3 0.007310755340089864 0.6933339075479821 -0.1491404756039228 0.7049764280011348 0.051564874438970384 0.20222669032331347 1.5364341103534032 0 p_003.png

4 0.017652438649544504 0.6031715527253656 -0.16713392978508848 0.7797042509228667 0.04556896160141827 0.1996792756211106 1.54323160683328 0 p_004.png

5 0.02085632335240198 0.49320391157004095 -0.1879767686711221 0.8491052053945934 0.04251493731999412 0.19927560387422333 1.5472862733387975 0 p_005.png

6 0.017542157106032255 0.4085811632368881 -0.1933806229239213 0.8918282572612368 0.042632340770591526 0.198606886875428 1.5541263521168962 0 p_006.png

7 0.02257610943492825 0.3133221615419342 -0.2023368063948575 0.927566363742995 0.04108900827711581 0.19960894202602403 1.5623193113071423 0 p_007.png

8 0.019720092416754906 0.17764118244602567 -0.20260106044995618 0.9628123070250013 0.039054022984532366 0.1977776322846908 1.5672556603595864 0 p_008.png

9 0.028553412539352285 0.04135745445133204 -0.2136754052824684 0.9756111339929636 0.031649629528718276 0.19940786947523448 1.5685585652793166 0 p_009.png

10 0.024049903885611137 -0.06732304238815365 -0.22077760804221644 0.9727006003256362 0.03142542588949959 0.19810341160360778 1.56107603739478 0 p_010.png

11 0.02253716344335773 -0.18711740628390908 -0.21586265647261385 0.9580618278953067 0.03111440923346559 0.19774299756647185 1.5630421460875965 0 p_011.png

12 -0.0150071686840435 0.9873809801780036 -0.020942921282701605 0.15625293251315367 0.026116014237550167 0.20680669064194257 1.5173109467834711 0 p_012.png

13 0.021672953118050453 -0.2805590170671197 -0.20749960942604706 0.9368889118425473 0.028240560244843782 0.1969060610667689 1.5718287857331095 0 p_013.png

14 0.022725407864154775 -0.3814918719643008 -0.20450166674201417 0.9011806565624451 0.023966206898147102 0.19704390525348675 1.5689845006773973 0 p_014.png

15 0.022053768547839046 -0.44549372350919425 -0.2009566273017273 0.8721613426140066 0.020168018733426885 0.19888857368919413 1.56373469364577 0 p_015.png

16 0.02339689656098004 -0.4947653791409605 -0.18889178466795378 0.8479267058654136 0.01639275643867455 0.19968507715936826 1.5591859370947097 0 p_016.png

17 0.035325630191006235 -0.6004772001501378 -0.1868571613901807 0.7767004784269568 0.009865902810007099 0.20167511858115766 1.5279269009123861 0 p_017.png

18 -0.043557738118306266 0.7328618590897662 0.17235009260148856 -0.6567432257144089 0.00759842642623218 0.2027896112620932 1.4998897948591925 0 p_018.png

19 -0.03268469642815438 0.8265760176643813 0.1367327912650847 -0.5449843497150635 -0.0031129160681784285 0.2060420179492485 1.5148634333399622 0 p_019.png

20 -0.03860517992039079 0.8838576070183466 0.10944530930561568 -0.45313032879086146 -0.006221035373952466 0.20841346746710182 1.5015524170736976 0 p_020.png

21 -0.027933500328722747 0.9362352675043115 0.09493775474853113 -0.3371499164523454 0.0009408615442467738 0.20879025891107594 1.494792094939064 0 p_021.png

22 -0.021974916954853832 0.9693957973016193 0.0669512687549885 -0.23517316771026925 0.0020165906161380143 0.21131885720398008 1.5025598360924766 0 p_022.png

23 -0.0024339236232796563 0.9601603755414443 -0.051158678812269244 0.2747160694937445 0.03284448073516233 0.20552274266550788 1.5185779696875534 0 p_023.png

24 -0.034356722230448014 0.991653399541671 0.04005301017934946 -0.11763888468784457 0.0021109855389399024 0.2119232666376711 1.484056165430839 0 p_024.png

25 -0.005190186611458475 0.9349383903825482 -0.06359250162890205 0.34902616218330407 0.04171665523409729 0.20554326052295033 1.5176228368788975 0 p_025.png

26 -0.004731081709809199 0.9085535792737551 -0.08519170010805777 0.408962571254879 0.039506778543320076 0.2028814170880464 1.510461625569783 0 p_026.png

27 0.0008994478311274856 0.8736269642672136 -0.09927079156856856 0.4763616569794439 0.04057548864221472 0.20331215824270465 1.5182000305038252 0 p_027.png

28 -0.00014254614593237777 0.8326333316686445 -0.10890585282032877 0.5430112612980014 0.04857808409502762 0.20308757297103774 1.5260244088714212 0 p_028.png

29 0.010425712587891345 0.7952061663245718 -0.12425540919782253 0.5933793481757633 0.04525605547648126 0.20241666001243525 1.5335165334562362 0 p_029.png

30 0.008480632100648984 0.7590942417510012 -0.13015497192865066 0.6377802868558248 0.04971600481675703 0.20182370816905998 1.538186859690842 0 p_030.png
